Restaurant,description
Fable,"Recommendations below!
100% make reservation

Pork Ribs
Special of the night: crispy Halibut salad 
Fat tug Oysters
Chickpea fritters 
Smoker Frazier Duck breast

They do switch up the menu because they are a farm to table restaurant which makes it nice since you can get a variety.
The alcohol is also farm to table so you will not find tour typical brand of hard liquor"
Fable,"I couldn't ask for more on a slow night at the restaurant. They were about to close but accommodated us . We were very hungry but didn't wanted to eat heavy so we ordered chickpea fritters n beets salad. N omg... my best chickpea fritters ever. So heavenly fresh n soft to eat. Beet salad was even better. I guess the fresh ingredients flavoured so well. In fact there were many food items that i was tempted to eat but I didn't ( have to watch my big growing stomach)  

I forgot the name of my cocktail but it was delicious n refreshing. There are good deserts as well like cheesecake, toffee caramel truffle . Loved the ambience n decor inside. It was peck clean n all covid precautions were taken. Staff was very gracious n smiling. Would love to go back to try duck dish ."
Fable,"Whoa! It's been a while .
And the wait was worth it. Now Vegan it's been hard to find a really good place for fancy pants dining . I am in love with this place. The food ..everything was perfect. And it's got everything from vegan , vegetarian and blood eaters alike ..
The dishes to start were the chickpea fritters..as for chickpeas and plant based eaters it's a happy marriage . They come as singles and I could have eaten that ×6 for a meal. And the roasted beets were so yummy . 
They had a pasta special for vegans which has pesto and pea shoots on the plate. Fantastic .I love my greens .give me a plate full of greens I'm super happy . 
My pescatarian loves ordered the salmon dish which also sounded amazing except the weird combination of chorizo in it(thought I should add that it shouldnt be on the same plate) could be missed if not paying attention. Not a surprise non-meat eaters would appreciate if eaten . 
All in all it has a little bit for everyone .the prices are a little bit high but I would definitely be back for a date!"
Fable,"Came here for a brunch date on a Saturday around noon and got seated right away but we definitely got the last open seats in the restaurant, so if you're coming, be prepared that it starts getting crowded around then! 

I liked how they have both sweet and savory options on their menu. They offer a variety of different eggs benedicts - we opted for their traditional eggs benny and their french toast! Both were good however, portion sizes were a little small for what you're paying.

Eggs benny was perfectly done - yolk was runny and flavor was good! I really liked these ""rostis"" thats on the side - its like a flattened tater tot - that crispy goodness :) 

Their french toast was one thicc slab of bread topped with mascarpone cream, farm fresh berries, and candied walnuts. This dish was a little too sweet for my liking. I was really impressed with the bread/toast itself - it was very caramelized on the outside but the inside was very soft! Felt like we were eating dessert haha. 

Their staff were kind and patient and helpful! Ambiance in the restaurant is definitely comfortable yet a little fancy and could do for a romantic meal too :)"
Fable,"There are many brunch spots on this stretch of 4th Ave., and Fable has to be one of the better options. They have recently expanded their menu to include frittatas and ""toasts"" (avocado, BLT, etc). I sampled the veggie frittata with creamy goats cheese, asparagus, and a healthy pile of greens on top, served with DELICIOUS potatoes rösti, a side of toast, and housemade raspberry jam. All of the components came together beautifully, and the rösti are more like sophisticated flattened tater tots (in the best possible way!). The darlings of the show in my book, along with that fresh raspberry jam.

Service was warm and efficient. The frittatas are listed as taking 20 minutes on the menu, but everything seemed to be served up with speed. The restaurant itself can seem a bit dark, especially if you're seated near the back, but all in all this was an experience worth repeating in my book. Total bill with tax and tip came out to about $20, which again is Vancouver's magic number for brunch or lunch (sans drinks)."
Fable,"It was such a treat coming to spend the evening in Kits with some life long friends. We planned to have dinner before the fireworks and we're thrilled when we were able to get a spot at Fable last minute! 

The restaurant from the exterior doesn't look like anything special but walking just a few steps inside confirmed that this reservation was a good choice. We walked past the bar in front of the open kitchen and I cannot lie I was a little envious of their seats!! I love cooking and sitting there would have been a dream watching them put out all of those plates of pure pleasure. Haha we did keep walking though, our table was at the back of this intimate and simple modern farmhouse restaurant. 

Our waiter was funny, engaging and efficient. He had a great knowledge of the ingredients used in the menu that is developed from a farm to table concept. I love this type of cooking so it was super enjoyable hearing the great attention to providing food that was as equally delicious as it was fresh and local. 

The drink menu has something for everyone, our husbands don't drink alcohol so having some really creative non-alcoholic beverages was really well received. Haha as was the knowledge our server had of the wine menu, as us girls did enjoy a glass of wine with our meals!

The food was very satisfying! The freshness, the creativity, the presentation, the flavour profiles all bang on! 

Thank you Fable for lending us a seat for such an enjoyable night of great food, laughter and conversation. We will highly recommended and hope to be back soon!"
Fable,"I was really excited about coming here because I've heard so much of it, however, the service was really slow and the food was mediocre. I got the eggs Benedict and it was nothing to rave about however, the hash browns were really good!"
Fable,"Fable has been on my list for a long time and I'm disappointed it has taken me so long to try it out! I love that they support local farms and get fresh ingredients daily. They even have a rooftop garden to grow some of their own ingredients. 
We came here for my birthday dinner and were greeted quickly by the hostess. They have an open kitchen right at the front with bar seating as well as regular tables in the back. 

We were told by the server that their dishes are meant to be family style which for me is the most ideal for trying a bit of everything. 

OYSTER FISH & CHIPS - Each order is only 1 piece of a medium sized beer battered fried oyster on tartar, topped with mini french fries. It was a perfect spoonful of deliciousness. The batter was light and the tartar was a refreshing balance. 

ROOFTOP SERRANO PEPPERS - This appy was quite large for the 2 of us. There were about 16 small roasted peppers in a white foam, topped with some chicharron. The spiciness of peppers are always a surprise but don't worry these range between a little sweet to mildly (2/10) spicy. 

SMOKED DUCK BREAST - Perfectly cooked tender duck breast with roasted parsnip, duck confit croquette and cabbage. The croquette tasted more like a carrot, potato croquette however. 

BC HALIBUT with SHORT RIB  on pea risotto, miso and halibut dashi. This dish was my least favourite because the halibut was overcooked. The halibut was pan fried, leaving the outside crispy but the inside dry. There were only a few small pieces of short ribs but they were quite tender. The pea risotto with the dashi was tasty even with so many peas in it! 

Overall a wonderful birthday dinner."
Fable,Cool diner feel.  Nice setup and good food.  Very reasonably priced.
Fable,"Cute little place for brunch. My boyfriend and I came here on a Sunday and there was a wait at around noon. We both ordered bennies. Our server was a little frazzled but was super friendly. 

Good service and good food. Super busy on the weekends so I'd recommend going a little earlier if you can!"
Fable,"We stopped for lunch here on our way out of town after the husband read some great reviews. We just popped in hoping there would be a place for us and they did a great job accommodating us. The restaurant has a fun vibe with an awesome and unique chandelier in the center and interesting art on the walls. The whole restaurant is pretty small including the dining area, a tiny little open kitchen, and a couple small bathrooms in the back. They do a good job with the space though and have lots of nice seating. 

Our server was really nice and attentive. They have some gluten free options on their menu and she was able to point me in the right direction. The husband can never turn down a grilled cheese, the little boy inside him wins every time. He was all smiles on the other side of the table as it disappeared so I think it was pretty spot on. I had the burger lettuce wrapped and it was good. 

We had nice service and a quick and pleasant lunch before heading back to the Seattle area."
Fable,"Had dinner here 3 of the 4 nights I was visiting Kitsilano from Seattle. Occasionally I've found Yelp reviews to be overinflated when visiting other cities (looking at you, Portland) however Fable fully deserves the excellent reputation it's garnered.
Food: Favorite entree was a tie between the gnocchi with a double add pork belly and duck breast (seriously, order both!), closely followed by the steak. The steak's crispy potato was understated however the two cheese aligot (aka cheesy whipped potatoes) which also comes with this entree was my overall favorite side, so it balanced out.
Favorite appetizers were the duck meatball and tomato soup, beets were solid. The $3-4 appetizers were cute and flavorful. There is nothing I regret eating and all the price points are reflective of portion size. Overall I agree their pricing falls somewhere between $$(Yelp)-$$$(Google) but when you factor in the amazing quality relative to what you pay I agree with Yelp's classification of $$ for value.
Sat at the kitchen bar and enjoyed watching the plating. I like that the open kitchen concept since it helped me optimize for what to try for subsequent visits. I have no regrets about eating the gnocchi twice and duck/steak once during this trip. However if I come back next things I would order are the sablefish (I overlooked seafood but one table ordered this for 3 of their 4 entrees so going to assume they know something I don't) and get the duck again, only mildly curious about the rissoto or salmon although both looked beautiful.

Usually when I eat out, I straight up optimize for taste/value and am ambivalent to the dining experience but Fable delivered on that too, which I must begrudgingly admit won me over. The restaurant manager not only remembered me when I came back on the second evening, he remembered how I liked my water (I can barely get some places in Seattle to recognize me if I go in once every week, much less care about my preference for non-monetary items). Skipped a night eating there and when I came back, the hostess still remembered where I like to sit. Service throughout the meal was attentive without feeling intrusive, ambience/decor was very nice, I haven't worked in a restaurant before but this place generally seemed to have the dynamics of an engaged and high-functioning team (e.g. servers double-checking plated orders before delivering them to tables, everyone in the kitchen voicing their opinion on what keeps things running well on the back-end). There were also smaller interactions that made me feel like the staff genuinely cared whether I had a good experience (e.g. not blanket recommending the higher-priced or daily special when asked for their opinion between two entree options, I was explicitly reminded not to tip by % when my bill included a gift card). Hope I'll get to visit Vancouver again soon because this was the perfect spot to unwind and enjoy great food after a long day."
Fable,"Fable (dine out)
Date of visit: 1/20/2019

Having previously tried their diner location, we were very curious to try its sibling restaurant.

We started with Fabled Virgin (blueberry juice, pomegranate syrup, fresh grapefuit juice, soda) & Citrus Ginger Soda (Fable made citrus ginger syrup, sode) which was refreshingly tart (wife found it *too* sharp)

We both ordered the ""chick pea fritters"" for appetizers, which turned out to be a delicious 3 falafels with curry mayo and pickled red onions, which lightened an otherwise slightly dense dish with their acidity.

For mains, my wife ordered the sqash gnocchi (with pork belly for an extra $5) while I ordered the seared ling cod.

For her squash gnocchi, the pumpkin seed provided a nice crunch to the dish.  Thats not something I ever thought gnocchi needed, but we really enjoyed it. Being a non protein main, it was a nice, generous portion. Also the reason she added the $5 glazed pork belly, which was also delicious when combined with the hazelnut beurre noisette & ricotta cheese.

My ling cod was perfectly cooked on one side; on the other, the skin was nice and crisp (but perhaps a bit too crisp, as the fish adjacent to the skin had hardened); this was a minor quibble as the flavour was spot on; the mashed potatoes and the cream sauce (wasn't listed on the menu, maybe hollandaise?) all harmonized for a very satisfying dish... Except portion wise. Mine was so small, I stole a good chunk of the Mrs gnocchi to keep from starving.

I realize for higher end meals to fit into a smaller budget, it often leads to dine out menus essentially being tasting menus. I would prefer a higher priced but more ""entree sized"" main.

We ordered 1 of each dessert... initially. Both the lemon meringue parfait and sticky date pudding were mind blowing. The lemon meringue parfait: with London Fog ice cream (yes, probably from Rain or Shine; nearby and tastes identical to theirs) and struesel, perfectly balanced lemon curd. 

We've been hooked on trying different sticky puddings since trying Gordon Ramsey's at his Steak House in Vegas (often with less than desirable results). This one was so good, that it didn't need ice cream to balance it. Whipped marscopone and candied pecans added both texture and dimension.

They were both tiny (they're served in small 2"" jars) but so good... that we ordered another one of each and swapped desserts, for an additional $7 each.

The food was of the highest calibre, but we left hungry. We assumed portions had been shrunk for Dine Out, but it turns out their regular portions are that small. Based on Dine Out alone: 4.5 stars, 8.8/10.

Recommended: the tiny but perfectly executed desserts, gnocchi, chick pea fritters.

Avoid: arriving on an empty stomach.

Photos by Michelle W."
