Restaurant,description
Fable,recommendation make reservation pork rib special night crispy halibut salad fat tug oyster chickpea fritter smoker frazier duck breast they switch up menu because they are farm table restaurant which make nice since you can get variety alcohol also farm table you will not find tour typical brand hard liquor
Fable,could not ask more slow night restaurant they about close but accommodated u we very hungry but not wanted eat heavy we ordered chickpea fritter n beet salad n omg my best chickpea fritter ever heavenly fresh n soft eat beet salad even better guess fresh ingredient flavoured well in fact there many food item tempted eat but not watch my big growing stomach forgot name my cocktail but delicious n refreshing there are good desert well like cheesecake toffee caramel truffle loved ambience n decor inside peck clean n covid precaution taken staff very gracious n smiling would love go back try duck dish
Fable,whoa it s been and wait worth now vegan it s been hard find really good place fancy pant dining am in love with place food everything perfect and it s got everything from vegan vegetarian and blood eater alike dish start chickpea fritter chickpea and plant based eater it s happy marriage they come single and could eaten meal and roasted beet yummy they had pasta special vegan which pesto and pea shoot plate fantastic love my green give plate full green i m super happy my pescatarian love ordered salmon dish which also sounded amazing except weird combination chorizo in thought should add should not plate could missed not paying attention not surprise non meat eater would appreciate eaten in little bit everyone price are little bit high but would definitely back date
Fable,came brunch date saturday around noon and got seated right away but we definitely got last open seat in restaurant you re coming prepared start getting crowded around then liked how they sweet and savory option their menu they offer variety different egg benedict we opted their traditional egg benny and their french toast good however portion size little small what you re paying egg benny perfectly done yolk runny and flavor good really liked these rostis thats side it like flattened tater tot crispy goodness their french toast one thicc slab bread topped with mascarpone cream farm fresh berry and candied walnut dish little too sweet my liking really impressed with bread toast very caramelized outside but inside very soft felt like we eating dessert haha their staff kind and patient and helpful ambiance in restaurant definitely comfortable yet little fancy and could romantic meal too
Fable,there are many brunch spot stretch th ave and fable one better option they recently expanded their menu include frittata and toast avocado blt etc sampled veggie frittata with creamy goat cheese asparagus and healthy pile green top served with delicious potato r sti side toast and housemade raspberry jam component came together beautifully and r sti are more like sophisticated flattened tater tot in best possible way darling show in my book along with fresh raspberry jam service warm and efficient frittata are listed taking minute menu but everything seemed served up with speed restaurant can seem bit dark especially you re seated near back but in experience worth repeating in my book total bill with tax and tip came out about which again vancouver s magic number brunch lunch sans drink
Fable,such treat coming spend evening in kit with life long friend we planned dinner before firework and we re thrilled when we able get spot fable last minute restaurant from exterior not look like anything special but walking just few step inside confirmed reservation good choice we walked past bar in front open kitchen and cannot lie little envious their seat love cooking and sitting there would been dream watching them put out those plate pure pleasure haha we keep walking though our table back intimate and simple modern farmhouse restaurant our waiter funny engaging and efficient had great knowledge ingredient used in menu developed from farm table concept love type cooking super enjoyable hearing great attention providing food equally delicious fresh and local drink menu something everyone our husband not drink alcohol having really creative non alcoholic beverage really well received haha knowledge our server had wine menu u girl enjoy glass wine with our meal food very satisfying freshness creativity presentation flavour profile bang thank you fable lending u seat such enjoyable night great food laughter and conversation we will highly recommended and hope back soon
Fable,really excited about coming because i ve heard much however service really slow and food mediocre got egg benedict and nothing rave about however hash brown really good
Fable,fable been my list long time and i m disappointed taken long try out love they support local farm and get fresh ingredient daily they even rooftop garden grow their ingredient we came my birthday dinner and greeted quickly by hostess they open kitchen right front with bar seating well regular table in back we told by server their dish are meant family style which most ideal trying bit everything oyster fish chip each order only piece medium sized beer battered fried oyster tartar topped with mini french fry perfect spoonful deliciousness batter light and tartar refreshing balance rooftop serrano pepper appy quite large u there about small roasted pepper in white foam topped with chicharron spiciness pepper are always surprise but not worry these range little sweet mildly spicy smoked duck breast perfectly cooked tender duck breast with roasted parsnip duck confit croquette and cabbage croquette tasted more like carrot potato croquette however bc halibut with short rib pea risotto miso and halibut dashi dish my least favourite because halibut overcooked halibut pan fried leaving outside crispy but inside dry there only few small piece short rib but they quite tender pea risotto with dashi tasty even with many pea in overall wonderful birthday dinner
Fable,cool diner feel nice setup and good food very reasonably priced
Fable,cute little place brunch my boyfriend and came sunday and there wait around noon we ordered benny our server little frazzled but super friendly good service and good food super busy weekend i d recommend going little earlier you can
Fable,we stopped lunch our way out town after husband read great review we just popped in hoping there would place u and they great job accommodating u restaurant fun vibe with awesome and unique chandelier in center and interesting art wall whole restaurant pretty small including dining area tiny little open kitchen and couple small bathroom in back they good job with space though and lot nice seating our server really nice and attentive they gluten free option their menu and able point in right direction husband can never turn grilled cheese little boy inside him win every time smile side table disappeared think pretty spot had burger lettuce wrapped and good we had nice service and quick and pleasant lunch before heading back seattle area
Fable,had dinner night visiting kitsilano from seattle occasionally i ve found yelp review overinflated when visiting city looking you portland however fable fully deserves excellent reputation it s garnered food favorite entree tie gnocchi with double add pork belly and duck breast seriously order closely followed by steak steak s crispy potato understated however two cheese aligot aka cheesy whipped potato which also come with entree my overall favorite side balanced out favorite appetizer duck meatball and tomato soup beet solid appetizer cute and flavorful there nothing regret eating and price point are reflective portion size overall agree their pricing fall somewhere yelp google but when you factor in amazing quality relative what you pay agree with yelp s classification value sat kitchen bar and enjoyed watching plating like open kitchen concept since helped optimize what try subsequent visit no regret about eating gnocchi twice and duck steak once during trip however come back next thing would order are sablefish overlooked seafood but one table ordered their entree going assume they know something not and get duck again only mildly curious about rissoto salmon although looked beautiful usually when eat out straight up optimize taste value and am ambivalent dining experience but fable delivered too which must begrudgingly admit won over restaurant manager not only remembered when came back second evening remembered how liked my water can barely get place in seattle recognize go in once every week much le care about my preference non monetary item skipped night eating there and when came back hostess still remembered where like sit service throughout meal attentive without feeling intrusive ambience decor very nice not worked in restaurant before but place generally seemed dynamic engaged and high functioning team e g server double checking plated order before delivering them table everyone in kitchen voicing their opinion what keep thing running well back end there also smaller interaction made feel like staff genuinely cared whether had good experience e g not blanket recommending higher priced daily special when asked their opinion two entree option explicitly reminded not tip by when my bill included gift card hope i ll get visit vancouver again soon because perfect spot unwind and enjoy great food after long day
Fable,fable dine out date visit having previously tried their diner location we very curious try it sibling restaurant we started with fabled virgin blueberry juice pomegranate syrup fresh grapefuit juice soda citrus ginger soda fable made citrus ginger syrup sode which refreshingly tart wife found too sharp we ordered chick pea fritter appetizer which turned out delicious falafel with curry mayo and pickled red onion which lightened otherwise slightly dense dish with their acidity main my wife ordered sqash gnocchi with pork belly extra ordered seared ling cod her squash gnocchi pumpkin seed provided nice crunch dish thats not something ever thought gnocchi needed but we really enjoyed being non protein main nice generous portion also reason added glazed pork belly which also delicious when combined with hazelnut beurre noisette ricotta cheese my ling cod perfectly cooked one side skin nice and crisp but perhaps bit too crisp fish adjacent skin had hardened minor quibble flavour spot mashed potato and cream sauce wasn t listed menu maybe hollandaise harmonized very satisfying dish except portion wise small stole good chunk mr gnocchi keep from starving realize higher end meal fit into smaller budget often lead dine out menu essentially being tasting menu would prefer higher priced but more entree sized main we ordered each dessert initially lemon meringue parfait and sticky date pudding mind blowing lemon meringue parfait with london fog ice cream yes probably from rain shine nearby and taste identical theirs and struesel perfectly balanced lemon curd we ve been hooked trying different sticky pudding since trying gordon ramsey s his steak house in vega often with le than desirable result one good not need ice cream balance whipped marscopone and candied pecan added texture and dimension they tiny they re served in small jar but good we ordered another one each and swapped dessert additional each food highest calibre but we left hungry we assumed portion had been shrunk dine out but turn out their regular portion are small based dine out alone star recommended tiny but perfectly executed dessert gnocchi chick pea fritter avoid arriving empty stomach photo by michelle w
Fable,amazing can make review short no okay i ll go egg benny out world amazing sauce perfectly acidic hate sauce that s just fat with nothing cut through place hyped up damn good reason
Fable,breakfast d real hard during long weekend trip vancouver recently and one few disappointment brunch visit fable service and atmosphere great but food really fell short star how service and atmosphere cozy vibe fable complimented by fast and friendly service really had no complaint star star how portion relative cost got farmer s muffin which essentially open faced breakfast sandwich not unreasonable price point given size dish star star and how food it s thing stayed grounded during my visit fable simply wasn t great dish and wouldn t in my mind been much better served proper breakfast sandwich english muffin fine but nothing special and set tone rest dish egg also nothing special with bit standard cheese and hashbrown soft and squishy opposed crispy peripheral green and jam not much save thing and whole wasn t impressed no star star would you eat every day you could had amazing breakfast experience in vancouver ranging from jam cafe th parallel but fable not quite cut no star
Fable,am personally huge fan fable my favourite go dish gnocchi absolutely amazing such great flavour and texture die they used serve with pulled pork which miss dearly because personally believe combined much better than pork belly their chickpea fritter are another one my favourite everything perfectly balanced out garnish pickled onion and sprout compensate heaviness frying and sauce absolutely delicious you can always count fable everything perfectly cooked like their poached egg always and instagram worthy ooze when you cut into there are only two downside can think first might fact it s pricier side but quality ingredient and effort and detailing given preparation food make cost understandable second sometimes in term flavour dish your order you try switch up from what you usually order might little hit and miss but probably due fact everyone different flavour preference there are many special and menu rotates often and change often sometimes you might fall in love with dish just disappear few month later insert broken heart emoji but least really demonstrates how they focus having freshest most in season ingredient and they re constantly focused finding and showcasing best flavour
Fable,should listened jw marriot concierge when they pretty much ignored my question when asked about restaurant what happens when you are hangry and you just want eat you are regular eater place would just fine you but those are more critical and even want delicious healthy option then go somewhere else really not eat unhealthy processed food my comment food no good quality healthy option service pretty lame our server like zombie but attitude change when bill served only good service we got from hostess place very loud nothing special will not recommend regret went and will not return customer
Fable,we love fable it s our number restaurant go food amazing smaller portion but very high quality ingredient it s worth price
Fable,came saturday morning brunch cozy homey rustic vibe low ceiling and close proximity table made pretty noisy atmosphere waitress recommended scrambled egg and french toast off menu ordered smoked salmon benedict special found benedict luke warm by time came my table and english muffin bit burnt overall found bit sour my taste but salmon pretty fresh hash brown side came with benedict delicious
Fable,came not knowing what getting into and i ll admit best stumble had pleasure stumbling we biking through seaside route we slowly got more and more hungry doing quick google search restaurant in area we settled fable and parked our bike about block away despite being fully booked and during dinner time we able grab two seat bar when we seated guy bar asked we had been there before and later given run menu we had friendly conversation how we could not drink we biking salmon broccolini good my partner said really liked veggie however we agreed spaghetti meatball captured our heart cutting into duck meatball we saw juice come out onto pasta delicious could not hold back my excitement when asked how my meal long story short love place now and want come back again try rest their dish great service and amazing food
